,Date,Company,Ticker Symbol,Open,High,Low,Close,Volume
0,2000-01-01,Sony Interactive Entertainment,SONY,15.973999786376957,16.334500427246095,11.676000213623048,14.167999572753908,147012000
1,2000-02-01,Sony Interactive Entertainment,SONY,14.164500427246095,17.626000213623048,14.000000000000002,17.556000213623047,67437000
2,2000-03-01,Sony Interactive Entertainment,SONY,16.856000213623048,17.52799957275391,12.152000427246096,15.687000427246096,112674000
3,2000-04-01,Sony Interactive Entertainment,SONY,15.820000000000002,15.820000000000002,12.495000000000001,12.635000000000002,74071000
4,2000-05-01,Sony Interactive Entertainment,SONY,12.712000427246094,13.149500427246094,9.940000000000001,10.212999572753906,65035500
5,2000-06-01,Sony Interactive Entertainment,SONY,10.192000427246095,11.752999572753907,9.967999572753907,10.562999572753908,47946500
6,2000-07-01,Sony Interactive Entertainment,SONY,10.912999572753908,11.808999786376956,10.128999786376957,10.521000213623047,29562000
7,2000-08-01,Sony Interactive Entertainment,SONY,10.360000000000001,12.936000213623048,10.142999572753908,12.796000213623048,31862500
8,2000-09-01,Sony Interactive Entertainment,SONY,12.823999786376957,13.027000427246096,10.535,11.305000000000001,40809500
9,2000-10-01,Sony Interactive Entertainment,SONY,11.305000000000001,11.305000000000001,9.086000213623048,9.296000213623048,45099500
10,2000-11-01,Sony Interactive Entertainment,SONY,9.436000213623048,9.918999786376954,8.071000213623048,8.343999786376953,41265000
11,2000-12-01,Sony Interactive Entertainment,SONY,8.4,9.177000427246094,7.503999786376953,7.783999786376953,35456500
12,2001-01-01,Sony Interactive Entertainment,SONY,7.756000213623048,8.778000106811524,7.546000213623048,8.237600021362306,43559000
13,2001-02-01,Sony Interactive Entertainment,SONY,8.220800170898437,8.309280166625978,7.75712013244629,8.009120025634767,28254000
14,2001-03-01,Sony Interactive Entertainment,SONY,7.845600128173829,8.691200256347656,7.324799957275392,8.091999893188477,41838500
15,2001-04-01,Sony Interactive Entertainment,SONY,7.840000000000001,8.736000213623049,7.551040115356446,8.584799957275392,35803500
16,2001-05-01,Sony Interactive Entertainment,SONY,8.623999786376952,9.603999786376955,8.568000106811525,8.747199935913088,44795500
17,2001-06-01,Sony Interactive Entertainment,SONY,8.747199935913088,8.91520004272461,7.296799850463868,7.369599914550782,173167500
18,2001-07-01,Sony Interactive Entertainment,SONY,7.380800170898437,7.391999893188477,5.180000000000001,5.546240158081055,59644000
19,2001-08-01,Sony Interactive Entertainment,SONY,5.588799743652344,5.90463981628418,4.983999786376954,5.028799743652344,33675500
20,2001-09-01,Sony Interactive Entertainment,SONY,4.928000106811524,5.0052798461914065,3.6982400512695315,3.718399925231934,44302000
21,2001-10-01,Sony Interactive Entertainment,SONY,3.7743998718261724,4.760000000000001,3.673599967956543,4.278399925231934,55415500
22,2001-11-01,Sony Interactive Entertainment,SONY,4.289599914550782,5.4712002563476565,4.245919876098633,5.342399978637696,45034000
23,2001-12-01,Sony Interactive Entertainment,SONY,5.174399871826172,5.628000106811524,4.835039901733399,5.051200256347657,36192000
24,2002-01-01,Sony Interactive Entertainment,SONY,5.079199829101564,5.564159927368164,4.788000106811524,5.013119812011719,41855500
25,2002-02-01,Sony Interactive Entertainment,SONY,4.871999893188477,5.359199829101564,4.547199935913087,5.174399871826172,25115500
26,2002-03-01,Sony Interactive Entertainment,SONY,5.285279846191407,6.395200042724609,5.280800170898437,5.790400085449219,37968000
27,2002-04-01,Sony Interactive Entertainment,SONY,5.653759841918946,6.321280059814454,5.628000106811524,6.0704000854492195,27620000
28,2002-05-01,Sony Interactive Entertainment,SONY,6.031200256347657,6.714399871826172,5.896799850463868,6.508319854736329,36989500
29,2002-06-01,Sony Interactive Entertainment,SONY,6.44,6.497120132446289,5.365919876098634,5.947199935913087,31785500
30,2002-07-01,Sony Interactive Entertainment,SONY,5.835200042724609,5.990879974365235,4.905600128173829,5.076959991455079,44375500
31,2002-08-01,Sony Interactive Entertainment,SONY,5.011999893188477,5.202399978637696,4.705120239257813,4.873119812011719,33451500
32,2002-09-01,Sony Interactive Entertainment,SONY,4.737600021362305,5.060160140991211,4.502399978637696,4.603200149536133,34637500
33,2002-10-01,Sony Interactive Entertainment,SONY,4.659199829101563,5.1340801239013665,4.456480102539063,4.8428798675537115,43175500
34,2002-11-01,Sony Interactive Entertainment,SONY,4.860800170898438,5.1273600769042975,4.538240051269532,4.9671999359130865,39140000
35,2002-12-01,Sony Interactive Entertainment,SONY,5.028799743652344,5.045600128173828,4.578559799194337,4.626720046997071,33656500
36,2003-01-01,Sony Interactive Entertainment,SONY,4.639040222167969,4.860800170898438,4.404960098266602,4.474399871826172,30685000
37,2003-02-01,Sony Interactive Entertainment,SONY,4.474399871826172,4.4967998504638675,4.217920036315918,4.252639923095703,24017500
38,2003-03-01,Sony Interactive Entertainment,SONY,4.271679878234863,4.290720100402832,3.9031998825073244,3.934560012817383,37957000
39,2003-04-01,Sony Interactive Entertainment,SONY,3.9200000000000004,4.011840019226074,2.5939199829101565,2.7708799743652346,223438000
40,2003-05-01,Sony Interactive Entertainment,SONY,2.728320121765137,3.0732799530029298,2.689120025634766,3.0620799636840825,273633500
41,2003-06-01,Sony Interactive Entertainment,SONY,3.1359999465942385,3.3588800811767583,3.0911999893188478,3.1359999465942385,192405500
42,2003-07-01,Sony Interactive Entertainment,SONY,3.1807999038696293,3.8505599594116213,3.1729599380493165,3.494399871826172,199654500
43,2003-08-01,Sony Interactive Entertainment,SONY,3.4921600341796877,3.7407999038696294,3.2916798782348637,3.690400085449219,95815500
44,2003-09-01,Sony Interactive Entertainment,SONY,3.7743998718261724,4.289599914550782,3.7475199508666996,3.897600021362305,133702500
45,2003-10-01,Sony Interactive Entertainment,SONY,3.9020799636840824,4.260479888916016,3.8046400833129885,3.9423999786376958,134401500
46,2003-11-01,Sony Interactive Entertainment,SONY,3.9983999252319338,4.149599914550782,3.7688000106811526,3.8471999359130864,77167000
47,2003-12-01,Sony Interactive Entertainment,SONY,3.808000106811524,3.9076800918579107,3.6310401153564458,3.8830400085449224,87112500
48,2004-01-01,Sony Interactive Entertainment,SONY,3.9076800918579107,4.703999786376953,3.8987199401855475,4.552800064086915,101987500
49,2004-02-01,Sony Interactive Entertainment,SONY,4.511359863281251,4.794720153808594,4.426239891052246,4.585279846191407,57577500
50,2004-03-01,Sony Interactive Entertainment,SONY,4.676000213623047,4.720800170898438,4.288479995727539,4.682720260620117,65308500
51,2004-04-01,Sony Interactive Entertainment,SONY,4.62,4.891040115356446,4.270559959411622,4.300799903869629,61321000
52,2004-05-01,Sony Interactive Entertainment,SONY,4.311999893188477,4.406080017089844,3.8023999786376956,4.1294400405883795,57659000
53,2004-06-01,Sony Interactive Entertainment,SONY,4.105919876098633,4.288479995727539,3.9603200149536137,4.261600074768067,36042500
54,2004-07-01,Sony Interactive Entertainment,SONY,4.260479888916016,4.311999893188477,3.811360130310059,3.8807999038696295,51175500
55,2004-08-01,Sony Interactive Entertainment,SONY,3.9200000000000004,3.949120025634766,3.6231998825073246,3.8830400085449224,59237500
56,2004-09-01,Sony Interactive Entertainment,SONY,3.8752000427246096,4.086879920959473,3.7407999038696294,3.851679878234864,43426000
57,2004-10-01,Sony Interactive Entertainment,SONY,3.8528000640869142,3.964799957275391,3.782240104675293,3.9031998825073244,44394000
58,2004-11-01,Sony Interactive Entertainment,SONY,3.878560066223145,4.121600074768067,3.864000053405762,4.072319908142091,47199000
59,2004-12-01,Sony Interactive Entertainment,SONY,4.01520004272461,4.390400085449219,4.004000053405762,4.363519897460938,82354000
60,2005-01-01,Sony Interactive Entertainment,SONY,4.363519897460938,4.427360076904297,4.061119918823243,4.146239891052246,90888500
61,2005-02-01,Sony Interactive Entertainment,SONY,4.132800064086914,4.290720100402832,4.0835198974609375,4.232480049133301,48548500
62,2005-03-01,Sony Interactive Entertainment,SONY,4.260479888916016,4.682720260620117,4.2392000961303715,4.4822398376464845,196486500
63,2005-04-01,Sony Interactive Entertainment,SONY,4.474399871826172,4.5684799957275395,4.006239891052247,4.111520004272461,100902500
64,2005-05-01,Sony Interactive Entertainment,SONY,4.1719998931884765,4.306400032043458,4.065600128173829,4.17423999786377,64166500
65,2005-06-01,Sony Interactive Entertainment,SONY,4.16192008972168,4.214560012817383,3.8505599594116213,3.8572800064086916,87476500
66,2005-07-01,Sony Interactive Entertainment,SONY,3.879679985046387,4.012959938049317,3.6265599060058595,3.6411199188232426,77465000
67,2005-08-01,Sony Interactive Entertainment,SONY,3.656800117492676,3.8740801239013676,3.647839965820313,3.7654399871826176,64027500
68,2005-09-01,Sony Interactive Entertainment,SONY,3.75423999786377,4.114880027770996,3.6959999465942386,3.717280006408692,78716500
69,2005-10-01,Sony Interactive Entertainment,SONY,3.7049600982666018,3.878560066223145,3.5616000747680667,3.673599967956543,58607000
70,2005-11-01,Sony Interactive Entertainment,SONY,3.6859198760986334,4.195520057678223,3.6343998718261723,4.145119972229004,60590500
71,2005-12-01,Sony Interactive Entertainment,SONY,4.164159927368164,4.625600128173828,4.054399871826172,4.569599914550782,74361500
72,2006-01-01,Sony Interactive Entertainment,SONY,4.62,5.729920196533204,4.580800170898438,5.476799850463868,168617500
73,2006-02-01,Sony Interactive Entertainment,SONY,5.3256001281738286,5.594399871826172,5.10384017944336,5.25056022644043,87482500
74,2006-03-01,Sony Interactive Entertainment,SONY,5.263999786376953,5.377120132446289,4.971680145263672,5.159839859008789,88713000
75,2006-04-01,Sony Interactive Entertainment,SONY,5.258400192260742,5.856480102539063,5.118400192260743,5.481280059814454,55812000
76,2006-05-01,Sony Interactive Entertainment,SONY,5.443200149536134,5.698559799194335,5.011999893188477,5.059040222167969,62377500
77,2006-06-01,Sony Interactive Entertainment,SONY,4.91791976928711,5.252800064086914,4.555039901733399,4.932479782104493,91073000
78,2006-07-01,Sony Interactive Entertainment,SONY,4.904480209350586,5.196799850463868,4.401600074768067,5.1508799743652345,74043500
79,2006-08-01,Sony Interactive Entertainment,SONY,5.062399978637695,5.171040115356446,4.7331198120117195,4.86192008972168,76201000
80,2006-09-01,Sony Interactive Entertainment,SONY,4.871999893188477,4.93807991027832,4.510239944458008,4.520319747924805,66351500
81,2006-10-01,Sony Interactive Entertainment,SONY,4.465439987182617,4.745439987182618,4.170879974365235,4.589760055541992,190528000
82,2006-11-01,Sony Interactive Entertainment,SONY,4.636799850463867,4.636799850463867,4.311999893188477,4.413919982910157,132560000
83,2006-12-01,Sony Interactive Entertainment,SONY,4.449760055541993,4.903359756469727,4.398240051269532,4.796959991455078,98152000
84,2007-01-01,Sony Interactive Entertainment,SONY,4.804799957275391,5.377120132446289,4.785759735107423,5.188959884643555,168689500
85,2007-02-01,Sony Interactive Entertainment,SONY,5.279680252075194,5.974080123901366,5.278559799194335,5.793759841918946,128733500
86,2007-03-01,Sony Interactive Entertainment,SONY,5.779199829101564,5.962879867553712,5.407360076904298,5.654879760742188,128043000
87,2007-04-01,Sony Interactive Entertainment,SONY,5.630239944458009,6.220479888916016,5.574240264892578,5.965120239257813,86391000
88,2007-05-01,Sony Interactive Entertainment,SONY,5.929280166625978,6.702080230712891,5.881119918823242,6.462399978637696,82590500
89,2007-06-01,Sony Interactive Entertainment,SONY,6.406399765014649,6.4209597778320315,5.649280166625978,5.753440093994141,90074000
90,2007-07-01,Sony Interactive Entertainment,SONY,5.891200256347656,6.061440200805666,5.635840072631837,5.906880187988282,94082000
